Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C,Manufacturer,Pattern Type
109,50 - 60,20'M - 18'C,14M X 21C,"6,8T",5B,6T,4T - 7B,Asics,Tennis
116,53 - 63,22'M - 18'C,16M X 22C,"6,8,10T - 8B",9T,6T,4T - 7B,Asics,Tennis
125,47 - 57,24'M -21'C,16M X 22C,"6,8,10T - 8B",6B,6T,5T - 10B,Asics,Tennis
BZ100,50 - 58,20'M - 19'C,16M X 19C,"7,9T - 7,9B",8B,7T,8T - 6B,Asics,Tennis
AERO 112,55 - 62,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Babolat,Tennis
AERO BLAST,55 - 62,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Babolat,Tennis
AERO STORM,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,7B,8T,6T - 6B,Babolat,Tennis
AERO STORM TOUR,55 - 62,20'M - 19'C,16M X 20C,8T - 8B,7B,8T,6T - 6B,Babolat,Tennis
AERO STRIKE,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Babolat,Tennis
AEROPRO CONTROL,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 10B,Babolat,Tennis
AEROPRO CONTROL +,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 10B,Babolat,Tennis
AEROPRO DRIVE,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
AEROPRO DRIVE +,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
AEROPRO DRIVE CORTEX GT ROLLAND GARROS,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
AEROPRO LITE,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
AEROPRO TEAM,55 - 62,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
AEROTOUR,50 - 55,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Babolat,Tennis
AEROTOUR +,50 - 55,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 11B,Babolat,Tennis
AEROTOUR OS,55 - 59,21'M - 19'C,18M X 20C,"8,10T - 9B",7B,8T,6T - 12B,Babolat,Tennis
AEROTOUR PRO LTD,50 - 55,20'M - 19'C,18M X 20C,"8,10T - 8,10B",7B,8T,6T - 12B,Babolat,Tennis
AEROTOUR PRO LTD +,50 - 55,20'M - 19'C,18M X 20C,"8,10T - 8,10B",7B,8T,6T - 12B,Babolat,Tennis
BOOST A,50 - 55,20'M - 19'C,16M X 19C,8T - 8B,7T,8T,9T - 7B,Babolat,Tennis
BOOST D,50 - 55,20'M - 19'C,16M X 19C,8T - 8B,7T,8T,9T - 7B,Babolat,Tennis
BOOST S,50 - 55,20'M - 19'C,16M X 19C,8T - 8B,7T,8T,9T - 7B,Babolat,Tennis
C DRIVE 102,50 - 55,20'M - 19'C,16M X 20C,8T - 8B,6T,8T,5T - 7B,Babolat,Tennis
C DRIVE 105,50 - 55,20'M - 19'C,16M X 20C,8T - 8B,6T,8T,5T - 7B,Babolat,Tennis
DRIVE 115,50 - 55,20'M - 19'C,16M X 20C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
DRIVE LITE,50 - 55,20'M - 18'C,16M X 19C,8T - 8B,6B,8T,7T - 10B,Babolat,Tennis
DRIVE MAX 105,50 - 55,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,7T - 11B,Babolat,Tennis
DRIVE MAX 110,50 - 55,20'M - 19'C,16M X 20C,8T - 8B,6T,8B,7B - 11T,Babolat,Tennis
DRIVE TEAM,50 - 55,20'M - 19'C,16M X 19C,8T - 8B,6B,8T,5T - 10B,Babolat,Tennis
